Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita
Slovakia,2021,5484,5496,10980,Slovak Republic,Slovak Republic,22123.3342114545,5447247.0,0.0010089500255817297,0.001006747077927621
Slovakia,2022,8589,8597,17186,Slovak Republic,Slovak Republic,21317.7943982363,5431752.0,0.0015827305812194665,0.0015812577599271837
Slovakia,2023,9672,9710,19382,Slovak Republic,Slovak Republic,24614.8734642794,5426740.0,0.001789287859746367,0.0017822854973704287
Slovakia,2024,10423,10424,20847,Slovak Republic,Slovak Republic,25992.6748502048,5422069.0,0.0019225133431536928,0.0019223289117124846
Slovenia,2016,15112,15170,30282,Slovenia,Slovenia,21447.8377796036,2065042.0,0.00734609756121183,0.007318010965394408
Slovenia,2017,16890,16962,33852,Slovenia,Slovenia,23303.077705959,2066388.0,0.008208526181917433,0.008173682773999848
Slovenia,2018,17705,17773,35478,Slovenia,Slovenia,25888.0481065655,2073894.0,0.008569869048273442,0.008537080487238016
Slovenia,2019,16026,16076,32102,Slovenia,Slovenia,25814.1687167572,2088385.0,0.00769781433978888,0.007673872394218499
Slovenia,2020,6540,6619,13159,Slovenia,Slovenia,25392.0651093612,2102419.0,0.003148278245202312,0.0031107024812846535
Slovenia,2021,8457,8507,16964,Slovenia,Slovenia,29192.8401933019,2108079.0,0.00403542751481325,0.004011709238600641
Slovenia,2022,10756,10796,21552,Slovenia,Slovenia,28360.3041467268,2112076.0,0.005111558485584799,0.005092619773152103
Slovenia,2023,11753,11748,23501,Slovenia,Slovenia,32660.4753581346,2120461.0,0.005540304679029702,0.005542662656846789
